,Unnamed: 0,code,last_modified_datetime,product_name,brands,countries,serving_size,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g
484,1296,9800120260,2017-03-09T15:25:15Z,Milk Chocolate,Ferrero U.S.A.  Incorporated,US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
485,1297,9800120307,2017-03-09T14:51:09Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero U.S.A.  Incorporated",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
486,1298,9800120314,2017-03-09T11:15:23Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero Rocher",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
487,1299,9800120338,2017-03-09T14:51:06Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero U.S.A.  Incorporated",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
488,1300,9800120352,2017-03-09T14:51:06Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero U.S.A.  Incorporated",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
489,1301,9800120369,2017-03-09T14:51:07Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero U.S.A.  Incorporated",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
490,1302,9800120475,2017-03-09T14:51:08Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero U.S.A.  Incorporated",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
491,1303,9800120499,2017-03-09T11:35:28Z,Fine Hazel Nut Chocolates,Ferrero Rocher,US,38.0,e,2423.0,42.11,13.16,0.0,0.013,44.74,39.47,2.6,7.89,0.13462,0.053,0.0,0.0,0.105,0.00189,22.0
492,1304,9800120659,2017-03-09T14:06:39Z,"Rocher, Fine Hazelnut Chocolates",Ferrero,US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
493,1305,9800120949,2017-03-09T11:15:52Z,"Rocher, Fine Hazelnut Chocolates","Ferrero,  Ferrero Rocher",US,38.0,e,2531.0,42.11,13.16,0.0,0.013,47.37,39.47,2.6,7.89,0.16764,0.066,0.0,0.0,0.105,0.00189,22.0
